名字,分類,ICON,全身圖,表情差分,背景,顏色,STR,CON,POW,DEX,APP,SIZ,INT,EDU,職業,台詞,HO,概要,經歷
野良 朱音子,通常PC一覽,https://static.wixstatic.com/media/690716_e4c7c6388fea4740b5da32433a89213f~mv2.png,,,,#FF0033,12,14,16,13,16,16,12,19,內科醫生,「若是為了那孩子，我或許可以獻上全世界。」,,因為名字諧音的緣故，外號「紅貓」。總是笑臉迎人，並且憑藉漂亮的容貌周旋在異性之間的優雅美女，然而因為家庭失和之故，連帶影響其無法信任他人的心理。<br>幼時在父母離異前與同父異母的妹妹相識，為了保護體弱多病的妹妹而付出許多努力，走上醫學之路的契機也是由此而來。在父母離異後與妹妹吵過一架，雖然表面上姊妹關係決裂，私底下仍非常擔心妹妹的狀況，時不時就會打聽妹妹的現況，並設法尋求令妹妹的身體變得健康的方法。對自己而言妹妹可以等於是全世界。所有將會危害到妹妹的存在都應該要排除。,瓶詰母子<br>もう寝なさい(請上床睡覺)
羽瀨 邦依,,,,,,#BD699D,,,,,,,,,,,,,地下の集い(地下集會)
天宮 浩美,通常PC一覽,https://static.wixstatic.com/media/690716_a366affaa95547ce89e2482a4f8300b7~mv2.png,,,https://static.wixstatic.com/media/690716_95a8ba601f5f4dfbaec73d11b9ee49d1~mv2.png,#73A5F9,9,11,11,14,15,11,12,16,鋼琴家,「用音樂吐槽是什麼東西啦，這奇怪的點子是誰提的？」,,天宮國廣的妹妹。雖然是妹妹，卻很擅長模仿哥哥的樣子，兄妹倆身材相近，外貌也相去不遠，連熟人都很難一眼看出差異。因為喜歡模仿哥哥的關係，對變裝有了幾乎是專家的造詣。面對哥哥的時候比較會露出頑皮的一面，但平時是相當冷靜乖巧的女孩子。因為護短的性格，重要的親友遭遇危險的時候甚至願意涉險相救。在危急關頭反而容易忘記自身安危。,絶望の孤島(絕望的孤島)<br>イエロウ・ウインド(Yellow・Wind)<br>さよなら天国、またきて地獄(永別了天國、再會了地獄)<br> 履き捨てろよ、ハイヒール(穿過便扔了吧，高跟鞋)
雨宮 霧華,通常PC一覽,https://static.wixstatic.com/media/690716_834ece494dfd4a0faea5382de66270aa~mv2.png,,,,#B39484,7,5,14,10,15,12,14,17,婚紗設計師,「要獲得自己的幸福不需要得到外人的允許，那又不關他們的事情。」,,名門企業「雨宮財團」的繼承人。是家族唯一的正式繼承人，但本人對家裡的企業一點興趣也沒有，現在與家裡斷絕往來，以設計服裝為業自立自強。目前是小有名氣的婚紗設計師，常常受邀訪談與為了展示新作而上節目。<br>服裝設計的理念主要是「幸福」、「祝福」與「自由」：祈禱獲得幸福、留下最美好的回憶；祝福能夠攜手長伴；希望不會受到社會價值觀的束縛而失去自由（暗示同性戀情）。,猫の絵描きさん(貓咪的畫家)
松尾 克己,通常PC一覽,https://static.wixstatic.com/media/690716_eb600d19290843bf8ed30fb581f4f822~mv2.png,,,,#654F43,13,9,14,9,14,11,15,12,天文學家助理,「學經營也滿有趣的……不過我還是喜歡天文學。」,,從小就是一般定義上乖巧懂事的好學生，對誰都很和善，看起來沒什麼脾氣，並且因為外貌關係相當受到異性喜愛。<br>對神話、神秘現象的話題相當有興趣，喜歡傳承或是神秘感豐富的現象。<br>大學時因為學科考歪了結果跑去經濟學部，最後還把四年學程讀完了。現在做為天文學家的助理活動中。,闇を呼ぶメロディー(呼喚黑暗的梅洛蒂)<br>この雨が止む前に(雨停之前)
羽瀨 準人,,,,,,#655672,,,,,,,,,,,,,
有泉 秀,通常PC一覽,https://static.wixstatic.com/media/690716_000e39501be24870a473ba351588fdc5~mv2.png,,,,#3D85C6,18,15,13,12,16,14,16,14,男公關店酒保,「……我還會再成長的。」,,上層資產階級家族出身，但本身沒什麼有錢人的高傲氣息，反而因為表現得太普通而常被當成窮人家的小孩。不過本人倒是無所謂，不會馬上被看出是有錢人家的小孩可以省去很多麻煩。<br>希望自己可以看起來很成熟，偏偏是個童顏而遲遲無法如願。認為直到三十歲之前都是成長期，一定可以看起來是個成熟的大人，但身高已經超過了170公分了……。,生きられない(活不下去了)<br>きさらぎ駅(如月車站)<br>ケーキインドリーム(夢中的蛋糕)
若月 小戀,通常PC一覽,https://static.wixstatic.com/media/690716_98d534e2d9324055bc4e1d2ee89c972c~mv2.png,,,,#BD7793,13,14,13,15,18,13,18,12,夜店女郎,「管不住自己小頭的男人，我就幫他們永遠省去這個煩惱。」,,從小便展現過人的才能，也被學校師長問過跳級或是參與資優班。不過在自己興致缺缺、父母也以自己的選擇為重的情況下，只是普通正常的一路上學到大學畢業。在學校時對於未來沒什麼方向，畢業後的某天走在路上受到夜店的公關招募，對這份高薪並且對於自己的世界來說相當獨特的職業產生濃厚的興趣，之後更是因為其貌美與能使客人掏錢買酒的高明話術，一躍成為該夜店的當紅招牌。父母雖然沒有多加干涉女兒的興趣與選擇的工作，但顯然對女兒現在的職業不太滿意，現在沒有頻繁的連絡。,沼男は誰だ？(沼澤人是誰？)
明智 一語,通常PC一覽,https://static.wixstatic.com/media/690716_8076ad11c4664d4783c62660d79cb504~mv2.png,,,,#7D5B45,11,13,14,10,16,12,14,17,編輯,「做人需要誠信，尤其最需要守時喔。」,,出版社的編輯，講求守時也擅長規劃作業進度。負責的作者幾乎都不（無）會（法）拖欠稿子。<br>孤兒院出身，在孤兒院生活的時期開始就懂得察言觀色，擅長洞察他人心理。幸運遇上了現在的養父母，過著普通衣食無缺的生活，也因此得以讀到大學、並在養父母的支持下走在自己喜歡的路上。<br>平常對人溫和有禮，會將失禮的想法全部藏在心底，不過也會有「不小心」說出真心話的時候。基本上不討厭笨蛋，但是討厭不守承諾的笨蛋。<br>雖然戴著眼鏡，其實沒有近視，單純做為裝飾。興趣是收藏眼鏡，家中有專門放置各種眼鏡的櫥櫃。,盲信者<br>Logged Chocolate<br>迷い猫に缶切りひとつ(給迷路的貓貓開罐器)
月見里 月戶,通常PC一覽,https://static.wixstatic.com/media/690716_5efd5456c4a04adfb6f11dad1dcb9505~mv2.png,,,,#4F536B,14,14,15,14,11,13,18,14,神祕學家,「科技的新玩意好像很討厭我呢，怎麼又變成自拍模式了？」,,從小身邊就容易發生稀奇古怪之事，或許是因為有過人的運氣，最少到大學畢業為止那些脫離常識的怪談從未將月戶捲入。<br>喜歡脫離常識的稀奇怪談，認為那些超出常人可以理解之事都有其存在的真實性，也因此對神祕學有很大的興趣。,はなひらり(花瓣飛舞)<br>緋色の慟哭(緋色的慟哭)<br>闇暗山
月見里 沙彌加,通常PC一覽,https://static.wixstatic.com/media/690716_6da0f8afdfc34ef59bfba8d6dbbd7afb~mv2.png,,,,#576278,7,6,16,11,14,5,13,6,小學生,「呼啊……我累了。今天運動量已經夠了吧？我要休息了。」,,個性有些古怪的女孩，喜歡靜靜地待在角落。但是因為可愛的外貌，在班上的人緣不差，同學會主動前來搭話，從來沒有在分組活動落單過。儘管討厭做事（特別是力氣活），該做的事情還是會好好完成，也因此沒受到排擠過。<br>討厭運動，體育課時會盡可能鑽空子去蔭涼處休息。<br>非常喜歡草莓牛奶，每天不能沒喝到草莓牛奶。,真綿のクベース(真綿的培育床)
菊一 紀香,通常PC一覽,https://static.wixstatic.com/media/690716_7192bfeb5bd14f8b8b018ec9a6ffea83~mv2.png,,,,#ECE580,11,10,12,12,15,15,14,16,萬事屋（偵探）,「有事相求嗎？說來聽聽吧。價碼都好談。」,,萬事屋「菊屋」的店主。對外宣稱包辦各種疑難雜症，話雖如此，本業其實是偵探。<br>健談，個性外向，擅長用話術打聽消息。莫名喜歡老人冷笑話，特別擅長與高齡人士打成一片，反而有點難以融入年輕族群。習慣性會稱呼年下的人「少年」、「女孩」，並非因年齡而輕視對方，單純是覺得這樣叫很親切可愛。是家長的視角。如果發現因此引起對方不快，也會誠懇道歉。,ここで長く生きて(望君長留)<br>その家は震えている(那棟住宅震顫不止)<br>シンガロンズオーバー(Sing Along's Over)
朝倉 初華,通常PC一覽,https://static.wixstatic.com/media/690716_5834ea9e5ce04340b426b20dbe43e919~mv2.png,,,,#BBDAE6,14,6,12,10,15,12,13,14,Vocaloid P,「我認為用音樂建構的世界，比用繪畫建構的世界還要不可思議喔。」,,無論對待任何人都能和善以待，有相當寬廣的包容力，加上突出的美貌而有著相當的人氣。從小喜歡音樂創作，最喜歡的是歌唱。但是因體力不佳，肺活量也練不起來，所以無法成為歌手。國中時接觸到Vocaloid，而後決定用Vocaloid代替自己唱歌，作為創作歌曲的手段。在網路上是小有名氣的Vocaloid P，以「烏賊P」被人所知，影片瀏覽數持續刷新記錄中（雖然還沒進過殿堂）。,アオのあなたへ(給藍色的你)<br>綴月館マスカレイド殺人事件(綴月館假面舞會殺人事件)
桐生 長義,,,,,,#4F7ABF,10,18,17,10,14,12,18,15,刑事搜查官,「優等生？我只是普通的優良刑警。」,,義日混血，母親是義大利人。不過因為日本土生土長，所以沒有待過自然學習義大利文的環境。<br>刑事搜查官，不過直屬上司的檢察官不常出勤（常常出國），所以實務上主要在搜查一課進行活動。<br>腦筋非常好，在學業上幾乎沒有困擾的事情。當初會考警校也不是志願當警察，只是練個手，最後就順水推舟進去就讀，還以優秀的成績畢業了。不過報考警校的契機是高中同窗，動機是想要幫助自己觸手可及的對象。,君におはようと言えたら(若能和你說聲早安的話)<br>闇をゆく者達の宴(行走在黑暗中的人們的宴會)<br>メーデー、電子の戦場より。(Mayday，自電子的戰場。)<br>甘に宿鳥(甜蜜的宿鳥)<br>Myrtle<br>死は口ほどに愛を語る(死亡比言語更能訴說愛)
長船 龍華,,,,,,#583896,11,13,12,13,18,12,17,14,空自隊員（飛行員）,「在空中飛翔的感覺很不錯喔。希望哪天也可以開到能飛上天的車子呢。」,,遺傳自母方出眾外貌的血統。似乎有西方血統，不過本人沒有在意。在學期間的外語成績是吊車尾跟被當邊緣低空飛過的。<br>學生時代就喜歡能飛在天空的各種交通工具，曾經的夢想是成為飛行船駕駛員。加入空自隊並且取得直升機駕駛執照也算是成就夢想了。除了喜歡駕駛直升機，其他時候也樂於開車載人。不過跟駕駛直升機相比，開車時因為熱衷於飆車而不太安定。也或許是因為駕駛汽車時並非工作狀態，態度相對不嚴謹之故。,何かが潜んでいる(有什麼東西在那裡)
凱洛德‧入江,,,,,,#D5819F,10,6,14,12,12,11,14,14,探險家,「嗚嗚、等一下，剛才的話題先讓我消化一下，壓力一大胃就開始痛了……」,,法日混血，母親是日本人，父親是法國人。名字是英日組合，因為祖母是英國人而被要求以凱洛德(Cloud)命名。由於這個名字常被誤會不是法國血統。腸胃不好，緊張帶起的壓力都會引起胃痛。運動時也缺乏持久力。<br>國中時曾因父母的工作搬到日本短暫居住就學，高中後回到法國繼續學業。大學畢業後因為想和留日時的朋友繼續維持交流而搬到日本。高中時是弓道社員，曾參加十字弓世界錦標賽擠進前十六強，但因過度緊張的壓力引起胃痛導致中途棄權，沒能進入決賽。十字弓技能是當時留下的專業能力。<br>大學以後發掘對旅行跟探險的興趣，在學期間便發展人脈、與相關民間組織交流學習，畢業後無縫接軌成職業探險家到各地冒險。每到新的地方也會固定跟家人與親友保持聯繫。熱愛冒險，但不打算死在冒險旅途上。,遺願肅清陣列
天宮 國廣,通常PC一覽,https://static.wixstatic.com/media/690716_cb52c84df57b4ec49b21376f3cb38034~mv2.png,,,https://static.wixstatic.com/media/690716_8c9043b9d1ad47558a8f30c9608482c6~mv2.png,#9CCC8C,10,11,12,13,14,12,13,15,小說家,「自己創作的世界是不會背叛自己的。」,,知名奇幻類小說作家「蛋殼帽」，出道作是名為【八百萬世界的少女】的奇幻小說。在學時期就因興趣在創作奇幻小說，大學時投稿到出版社後意外成名出道。筆名由來是撰寫【八百萬世界的少女】時吃到一半的水煮蛋蛋殼，抱著隨便的心情寫下的筆名卻意外正式成名。雖然想過更換筆名，但跟妹妹浩美商量之下發現兄妹倆一點命名sense都沒有，最終將就著繼續使用「蛋殼帽」作為筆名。,初恋性ストックホルム症候群(初戀性斯德哥摩爾症候群)<br>Little My Partner<br>腕に刻まれる死(刻在手腕上的死)
神山 歌奈,通常PC一覽,https://static.wixstatic.com/media/690716_4b4633b7e8f54759ac574fde17ad8b91~mv2.png,,,,#1732B6,12,14,13,10,14,12,13,18,程式設計師兼英文家教,「不努力就什麼都不會得到。雖然還是有無論怎麼努力都得不到的⋯⋯」,,遺傳父方的銀髮藍眼。努力型天才，曾在音樂方面有過人表現，卻在一次音樂演出中被頂替自己上場臨演丹紅搶過風采，周遭人開始拿妹妹跟自己比較，連雙親的愛與注目都全數轉移到妹妹身上，從此開始厭惡妹妹。因不敵丹紅的天份與周遭的言論壓力，最終選擇放棄音樂之路。現在從事程式設計工作，兼職英文家教。,鏡屋敷の神隠し(鏡子屋的神隱)
神山 丹紅,通常PC一覽,https://static.wixstatic.com/media/690716_29f1559a473a4c389504bb869eeb7aad~mv2.png,,,,#AD4646,14,10,12,16,16,12,17,17,鋼琴家教,「音樂？⋯⋯那種東西，是詛咒喔。」,,遺傳母方的金髮紅眼。真正意義的音樂天才。小時候跟歌奈感情相當好，在一次代替歌奈的音樂演出會嶄露自己的音樂天賦，得到雙親的重視與觀眾的喝采，無意間搶過了歌奈的舞台與雙親的愛。一直想跟歌奈和好卻總是只會刺激到對方而往往以吵架收場，因此養成少話內向的性格，也連帶不喜歡受到矚目。<br>至今仍以音樂為職業並非喜歡音樂，只是認為若是捨棄從歌奈手中搶走的音樂才是真正背叛對方的行為。對丹紅來說，音樂不是幸福也並非興趣，而是造成自己與歌奈如此痛苦且憎恨的詛咒。討厭人群與聚光燈，若非演出絕不在人群前出現。隱性病嬌姊控。,鏡屋敷の神隠し(鏡子屋的神隱)
白鳥 晴華,通常PC一覽,https://static.wixstatic.com/media/690716_fa940260ae8a468e9b42655408d5e304~mv2.png,,,,#C48080,9,12,14,15,15,12,15,20,外科醫生,「只要還有希望，就不想放棄任何一條生命，這不是理所當然的心情嗎？」,,對外一般自稱EMT(緊急救護技術員)。正確來說是擁有EMT資格的外科醫生。主要的工作集中在急救中心的緊急手術，是急救現場受到同僚信賴的重心人物。現在於某醫大附屬醫院任職。<br>以救人為己任，視甦生醫療為挑戰。只要有機會救活的性命就絕對不會放棄，但若判斷救活了也不會讓情況好轉、甚至只會讓患者更痛苦的話，也會乾脆放棄救治。醫療過失的糾紛？要告就來啊誰怕你啊。的態度。,52光年先のあなたへ(致52光年外的你)<br>フノスのプルイルス・アーク(赫諾絲之虹)
渡邊 一緣,通常PC一覽,https://static.wixstatic.com/media/690716_d7df484412e9421fa81fcf296e3c2d19~mv2.png,,,,#7A495B,12,13,12,8,15,13,10,15,業餘藝術愛好者,「如果這是椋生希望的話……嗯，我沒關係喔。」,,？？？？？？,ぎこちない同居(生硬的同居)<br>天球廃墟に双つ月(天球廢墟中的雙月)<br>その手にナイフを、あなたに×を。(用手上的刀子，給予你×。)<br>雲をこの目に写すまで(直到雲映入這雙眼中)<br>セイント・ナイト・アバンギャルド(前衛聖夜)<br>甘に宿鳥(甜蜜的宿鳥)<br>渚に届くラブレター(寄到海岸的情書)
小華和 昴,通常PC一覽,https://static.wixstatic.com/media/690716_a5148cadc42146448cbf3a09e65abb42~mv2.png,,,,#3A5C12,10,16,12,11,14,13,13,16,鑑識科刑警,「今天睜眼又是美好的一天……人為什麼要活這麼久。」,,鑑識科的刑警。習慣位於支援他人的立場。生平無大志，最近有點感覺人生沒有什麼趣味，思考著人活這麼久要做什麼啊？,メーデー、電子の戦場より。(Mayday，自電子的戰場。)
佐倉 彩羽,,https://static.wixstatic.com/media/690716_4efa9ac50d054db2bb1a4f0242127c75~mv2.png,,,https://static.wixstatic.com/media/690716_9230ef87888440f8b470a2f84a9b6d2b~mv2.png,#F396B5,8,13,13,12,11,13,16,15,大學教授助理,「教授是不能視為人類的，他們沒有邏輯。」,,人生沒什麼刺激，也不太追求刺激，只要能平安過一生就好的普通人心理。沒有特別喜歡現在的工作，只是單純做得來。如果教授的行事可以有邏輯一點就好……這個想法在做助理的第一個月就放棄了。自此再也沒將教授視為可以溝通的人類。大學研究專攻生物學和副修博物學，本人表示當年是低空飛過畢業門檻，並不擅長讀書。起初因為學業生活解脫而大為欣喜，豈料進入職場只是從一個地獄換到另一個地獄。,
來山 惠,通常PC一覽,https://static.wixstatic.com/media/690716_650d2f43ee0146829846ea81f2d3f844~mv2.png,,,https://static.wixstatic.com/media/690716_e7d3dc3c9b8b4523b6cfeb6ba53c890b~mv2.png,#95B55B,13,13,16,16,13,14,17,16,高中老師,「有什麼不懂的地方，儘管問我。解答學生的疑問是老師的工作。」,,學生時代是學校足球隊一軍，高中畢業後沒有繼續走職業選手的路，普通地讀完大學，現在就任高中老師。曾有過遠渡海外留學的經驗，所以有相當的英文能力。<br>很容易和學生打成一片的性格，面對年紀比自己小的對象很有耐心，或許也因如此而容易吃虧。很寵表妹紀美子，曾開玩笑說過想追求紀美子的人需要先過自己這一關……或許這並不只是玩笑。,傀逅
長月 時葉,通常PC一覽,https://static.wixstatic.com/media/690716_bfdc9eb4c9224856bafabcc8dfbfa5ee~mv2.png,,https://static.wixstatic.com/media/690716_932d3bf1893442bf88906ab505945484~mv2.png,https://static.wixstatic.com/media/690716_5e641d6eabdd40f5a7973ecd57717265~mv2.png,#757D9C,11,16,10,16,12,12,15,15,兒童圖文作家,「我販賣的是夢想，負責買單的是家長。」<br>「你已經是成年人了，請到一邊自己玩沙去。」,,給人的第一印象是性格溫柔、很有耐心。然而時葉的耐心只會用在小孩子身上。若面對的是平輩或者並非尊敬的年長者，則沒有與人長時間交流的耐性，會找各種藉口提早離開現場。沒有多少交心的朋友，但會珍惜關係穩定的交流對象。即使對方是損友……應該也是一樣的吧。,スーサイデッドメアリンク(英雄主義者)<br>リンクヴェルトゲンガー(鏡像連結)<br>泡沫の夢に踊れ(在泡沫之夢中起舞)<br>やさしいじごくのつくりかた(溫柔地獄的創造方法)<br>煙に抱かせてやるものか(怎能被煙劫走)<br>28時のサクラメント(28點的聖禮)<br>最弱のかみさま(最弱的神明)
淺日 薰,通常PC一覽,https://static.wixstatic.com/media/690716_7c95a1247a15427989c5b7c6acdeeb86~mv2.png,,,,#C8836B,12,12,13,14,16,12,18,14,牙科醫生,「我找到了不錯的好地方，要不要一起去玩一玩？行程可以交給我來規劃！」,,神宮寺蒔夏的學弟。非常崇拜彌，尤其在彌跑去當牛郎的時候因為「學長這樣看起來超級帥的！」這種膚淺到不行的理由就跟著跑去當牛郎了。在彌從牛郎店辭職後還沮喪了好一陣，直到發現對方回去醫療老本行，便跟著鬼轉進同一間醫院任職牙科門診了。<br>交往過幾任女友，但持續時間都不長。原因是女方們皆認為「雖然在一起很開心也很放心，但有時候有點可怕……」而被分手。本人對這個評價不置可否，也沒有要解釋的意思。,SANTA回復シナリオ(SANTA回復劇本)
杉野 桐光,指定HO劇本PC一覽,https://static.wixstatic.com/media/690716_7912134f61d947a2b284fb780929a072~mv2.png,,,,#B4AC9F,11,13,16,10,15,14,11,16,山岳攝影師,「能拍下名留青史的畫面，這不是普遍攝影人的目標嗎？」,HO3A 見證傳說之人,父親是有名的風景攝影師，受父親影響對攝影有相當的天賦與濃厚的興趣。<br>相較於拍攝美麗風景，更鍾情於拍攝值得紀念傳頌的瞬間。基本上常駐於體育系比賽的拍攝，近期轉向跟隨登山隊紀錄征服攻頂之時。喜歡用自己的雙手捕捉人類、或者該說事物最光輝耀眼的瞬間。,狂気の峰へ(狂氣之峰)
亞克賽爾,指定HO劇本PC一覽,https://static.wixstatic.com/media/690716_8fac6ea0af82434384ffa08d2950b20d~mv2.png,,https://static.wixstatic.com/media/690716_228dbae829644f3a949b496a7a53d518~mv2.png,https://static.wixstatic.com/media/690716_5b3c0a6aafc041ec909dbc21af809b57~mv2.png,#BC6868,17,12,12,15,13,14,16,8,殺手,「先告訴我任務內容是什麼。」,HO3 鬼,在教堂中長大的孤兒。託『幽靈』的福而逃過一死並加入組織，但基本上不信任人類。拒絕任何對自己的身體不利的工作，除此之外的命令跟任務會全力以赴。,かいぶつたちとマホラカルト(怪物們與綺想教團)<br>無辜なきかいぶつたちのカオス(絕非無辜的怪物們的混沌)
鳥羽 奏,指定HO劇本PC一覽,https://static.wixstatic.com/media/690716_6334512616c94d96b3f2d97b94713399~mv2.png,,https://static.wixstatic.com/media/690716_ea230096ef0f48448d5b3504fe241d47~mv2.png,https://static.wixstatic.com/media/690716_33daea6793db417f92cbd41199ee15ad~mv2.png,#C93044,20,9,16,15,12,13,12,13,刑警,「輪到菜鳥大展身手的機會在哪裡呀？」,HO2 鳥,選用了速度不快、但殺傷力最強的大太刀作為主武器，力求一招制敵。也專門學習過近身格鬥的相關課程，具備擒拿活捉目標的進階能力。不分季節穿著長袖外套與黑手套，有潔癖症的樣子，絕對不會脫下手套或長袖外衣。和鑑識課的同僚有些交流，學習過藥學相關的知識，有還算堪用的藥學判斷能力。,快刀乱魔(快刀亂魔)<br>もふれ！毛布(摸摸吧！毯子)
艾爾涅斯特‧費里尼,指定HO劇本PC一覽,https://static.wixstatic.com/media/690716_003580d9678a4aafbd2371607b03ac25~mv2.png,,,https://static.wixstatic.com/media/690716_ce68cb0a966f49fc809a772319836177~mv2.png,#A8A8A8,10,11,10,17,15,13,17,12,殺手,「嘛，為了生存，有很多事情是得做，而不是要不要做的問題。」,HO1兄,和孿生弟弟以兩人一組的殺手進行活動。手腳靈活，習慣隱身於昏暗處行動，「順便」把看起來用得上的東西一起順走。只要不說話就可以改變外貌騙過人，有時也會偽裝成柔弱女子欺騙目標放下警戒心。沒有近視，眼鏡是平光眼鏡，最初是偽裝用，後來因為便於搭配裝扮而變成固定裝備。個性沉穩溫和，儘管面帶微笑卻給人一種疏遠感。不會對外人敞開心扉，放在心上的唯有孿生弟弟一人。,Battito del diavolo(惡魔的心跳)
神崎 優幻,指定HO劇本PC一覽,https://static.wixstatic.com/media/690716_724bf70836f64f91b2ca9caf31e40a9e~mv2.png,,,https://static.wixstatic.com/media/690716_ca3eb197d9f64ea4a91846127fa9192e~mv2.png,#A0B2C0,─,─,─,─,─,─,─,─,？？？,？？？,HO2 殺人鬼,？？？？？？<br>繼續不可。<br><br><br><br><br><br><br><br>,片鱗
鬼柳 綾女,指定HO劇本PC一覽,https://static.wixstatic.com/media/690716_6c49b0d178cc4d81a2db601b51f8f52a~mv2.png,,,https://static.wixstatic.com/media/690716_2e24bfe56a714a96bafe215166e800c0~mv2.png,#5171AB,14,15,15,15,15,12,12,13,女僕店店員／遺書屋,「人會把真心留在遺書裡，也把最殘酷的現實留在遺書裡。」,HO1 届人,家中獨生女。在出生後母親即衰弱死亡。由於雙親一直希望有個兒子，沒有再婚打算的父親便將綾女當作男性撫養。一直以來都走在父親期望道路上的綾女，某日回家時發現父親因為給朋友作保人而被黑幫找上門討債，遭毆打幾乎致死。父親在將草草寫下的遺書交給綾女後斷氣。在辦理好葬禮等手續後，綾女搬離原本的住處，也與過往的交際圈斷絕聯繫。,Dropout Despair
時永 久,指定HO劇本PC一覽,https://static.wixstatic.com/media/690716_c309de51fcdf40eeb3096291d7ac0242~mv2.png,,,https://static.wixstatic.com/media/690716_361d85862eb34a009b300ff583fb21d8~mv2.png,#8E8C82,11,8,12,15,18,13,14,16,臨摹師,「只是模仿的話，很簡單的。」,HO2 贗作師,在地下社會以「臨摹師」聞名。只要是看過的畫作，幾乎可以沒有破綻地模仿。情緒反應平靜穩定到接近冷淡，唯獨對三日月會有比較多樣的情緒反應。但更多時候或許是被氣出來的。,レプリカントの葬列(複製人的葬列)
海堂 澪真,指定HO劇本PC一覽,https://static.wixstatic.com/media/690716_3ea63b88b40d46f5a07b17e5226deb94~mv2.png,,,https://static.wixstatic.com/media/690716_5506289d4b7343e2a2d98e1e118a893a~mv2.png,#455C92,12,11,18,16,13,13,16,19,甜點主廚,「歡迎光臨。今天想來點什麼甜點？」<br>「廁所不外借。如果不是客人請立刻給我滾出去謝謝您。」,HO1 經營者兼主廚,因最近製作了很有人氣的美味點心而遠近馳名的優秀甜點主廚。在城市一隅經營可愛小店舖「Honeyveil（蜂蜜的薄紗）」，開張日3月8日。<br>最喜歡見到的是客人的笑容。但對於不是顧客、只是來店裡鬧事的人，會毫不留情地將對方掃地出門。,愛罠蜂
赤羽 凪,指定HO劇本PC一覽,https://static.wixstatic.com/media/690716_6e9bfc617da54da5bdeb70a047723813~mv2.png,,,https://static.wixstatic.com/media/690716_cd44cf54b12046f6b5b736d87d58cfc0~mv2.png,#8C9FCC,11,8,18,8,16,11,16,20,科學搜查研究員,「只要是我辦得到的事情，儘管跟我說。」<br>「我的家人今天也是世界第一的可愛！」,HO1 父親,,とある幸せな家族の話(某個幸福家庭的故事)
草薙 紫陽,,,,,,,11,11,14,15,16,14,13,18,殺手,,HO2 夏,,四季送り(獻上四季)
打它 空央,,,,,,,,,,,,,,,,,,,胡桃炸裂症候群(核桃炸裂症候群)
七五三 輝璃,,,,,,#5260A9,12,8,12,11,17,13,17,15,教徒,「心誠則靈。教主大人就是現人神存在的證明！」,HO2 柊,某天右眼突然出現獨特的紋樣，幾乎在同一時間獲得了「神的加護」，之後便對信徒們聲稱「虔誠的信徒可以從神那裡獲得和教主大人同等的加護」。也對此感到驕傲自滿。<br>在成長過程中察覺自己的柔美外貌可以利用的地方，因此平常刻意穿著女裝、偽裝成女性。除了從小認識的朋友，沒讓任何人知道自己其實是男性。,鰯と柊(鰯與柊)
永久 陽炎,,,,,,#FFA061,18,13,10,16,12,12,15,21,監察官,「我還滿不喜歡被算計的吧，如果你想利用我，記得先爭取我的同意。」,HO1 前輩,對人生沒什麼特別的目標或野心，個性上也不算是當警察的料，比起打擊犯罪，更喜歡讀書或學習日本歷史，非值勤時間會泡在圖書館裡。跑來當警察最大的理由是「可以合法使用日本刀」。,Dear flip-flop
